Category,Kind,Total,Depends Correct,ENRE Correct,SourceTrail Correct,Understand Correct,,,,,,,,,
,,,,,,,,,,,,,,,
entity,annotation,2,2,2,2,1,,,,,,,,,
entity,annotation member,2,2,2,2,2,,,,,,,,,
entity,class,5,3,5,5,5,,d: r/Create,d: r/Create,,,,,,
entity,enum,2,2,2,2,2,,,,,,,,,
entity,enum constant,3,3,3,3,3,,,,,,,,,
entity,file,1,1,1,1,1,,,,,,,,,
entity,interface,1,1,1,1,1,,,,,,,,,
entity,method,2,2,2,2,2,,,,,,,,,
entity,package,3,2,3,3,3,,,,,,,,,
entity,typeparameter,2,0,0,2,2,,,,,,,,,
entity,variable,8,5,8,1,8,,d: o/hidden,d: o/hidden,,,,,,
relation,annotate,3,3,3,3,0,,,,,,,,,
relation,call,6,5,5,4,5,,s: o/Wrong Src,,,,,,,
relation,cast,1,1,1,0,1,,s: o/Weak/Type Use,,,,,,,
relation,contain,7,0,7,0,6,,,,,,,,,
relation,define,8,0,8,0,8,,s: o/Indirect,s: o/Indirect,s: o/Indirect,s: o/Indirect,s: o/Indirect,s: o/Indirect,s: o/Indirect,s: o/Indirect
relation,implement,6,3,6,6,6,,,,,,,,,
relation,import,6,4,5,5,6,,,,,,,,,
relation,inherit,5,5,5,5,5,,,,,,,,,
relation,modify,2,0,0,0,2,,s: o/weak/Use,d: o/weak/Use,,,,,,
relation,override,4,0,3,3,3,,,,,,,,,
relation,parameter,1,0,1,0,0,,u: e/Parameter,,,,,,,
relation,reflect,5,0,5,0,0,,,,,,,,,
relation,set,4,0,3,0,4,,,,,,,,,
relation,typed,2,0,2,0,2,,,,,,,,,
relation,usevar,7,7,6,4,6,,e: o/Bug,,,,,,,
,,,,,,,,,,,,,,,
entity,count,31,23,29,24,30,,,,,,,,,
entity,percentage,,74.19,93.55,77.42,96.77,,,,,,,,,
relation,count,67,28,60,30,54,,,,,,,,,
,percentage,,41.79,89.55,44.78,80.6,,,,,,,,,
,,,,,,,,,,,,,,,
total,percentage,,52.04,90.82,55.1,85.71,,,,,,,,,
,,,,,,,,,,,,,,,
entity,error level,C,6.45,0,0,0,,,,,,,,,
,,I,6.45,0,0,0,,,,,,,,,
,,U,12.9,6.45,22.58,3.23,,,,,,,,,
,,,,,,,,,,,,,,,
relation,error level,C,0,0,0,1.49,,,,,,,,,
,,I,1.49,0,14.93,0,,,,,,,,,
,,U,55.22,8.96,37.31,14.93,,,,,,,,,
