Category,Kind,Total,Depends Correct,ENRE Correct,SourceTrail Correct,Understand Correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity,class,12,12,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity,class attribute,7,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity,function,14,14,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity,parameter,8,0,8,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity,anonymousfunction,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity,lambda parameter,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity,variable,10,2,8,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,define,37,0,34,1,37,,s: o/Concept,s: o/Concept,s: o/Concept,s: o/Concept,s: o/Concept,s: o/Concept,s: o/Concept,s: o/Concept,s: o/Indirect,s: o/Indirect,s: o/Indirect,s: o/Indirect,s: o/Indirect,s: o/Indirect,s: o/Indirect,s: o/Indirect,s: o/Indirect,s: o/Indirect,s: o/Indirect,s: o/Concept,s: o/Concept,s: o/Concept,s: o/Concept,s: o/Concept,s: o/Concept,s: o/Concept,s: o/Concept,s: o/Concept,s: o/Concept,s: o/Concept,s: o/Concept
relation,call,9,7,8,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,inherit,10,8,10,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,set,5,0,4,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,use,23,14,22,16,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity,count,53,28,51,34,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,percentage,,52.83,96.23,64.15,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,count,84,29,78,32,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,percentage,,34.52,92.86,38.1,97.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total,percentage,,41.61,94.16,48.18,98.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity,error level,C,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,I,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,U,47.17,3.77,35.85,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,error level,C,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,I,0,0,13.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,U,65.48,7.14,47.62,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
